id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
650,2,42,1,4,4,3,2,24,4,16,3,6,1,42,24,4,1,-15,1,1,2,2,1,0,0,33,3,2,1,1,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,16,19,17,20,1,1,49,34
651,1,3,4,2,2,1,4,52,1,16,1,7,3,-10,1,-10,1,-10,1,2,2,2,0,0,0,6,2,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,17,20,17,21,0,1,6,61
652,2,50,4,42,2,12,1,24,1,16,1,6,3,42,24,12,16,50,6,1,2,1,2,0,0,7,25,1,2,1,NULL,NULL,NULL,1,2,2,3,1,3,0,1,4,17,21,21,22,4,1,104,72
653,1,42,1,24,1,16,3,12,1,3,3,2,2,24,2,16,1,-46,1,1,1,1,0,0,0,32,27,0,0,0,1,NULL,NULL,1,1,0,0,0,0,0,1,2,21,22,26,22,5,0,82,38
655,2,7,3,6,1,2,1,24,2,16,4,3,2,2,16,6,3,7,24,2,1,2,1,0,0,5,6,2,1,1,NULL,NULL,NULL,1,3,0,0,0,0,0,2,2,2,1,3,3,1,2,15,33
656,1,12,2,7,4,2,4,16,2,7,2,6,1,2,6,12,7,-15,1,2,1,2,0,0,0,21,2,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,3,3,3,4,0,1,21,29
657,2,40,2,8,2,3,1,42,1,24,1,1,1,40,24,3,42,8,1,1,2,1,0,0,0,33,34,0,0,0,2,NULL,NULL,1,1,0,0,0,0,0,1,2,3,4,5,7,2,3,51,51
658,1,4,3,2,1,1,1,50,4,7,4,6,3,-10,1,-10,1,-10,1,2,2,2,1,0,0,7,1,2,1,1,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,5,7,6,8,1,1,7,58
659,2,7,3,7,4,4,2,16,2,8,2,6,1,4,16,7,6,-15,1,2,1,2,1,0,0,7,22,2,1,1,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,6,8,7,9,1,1,18,29
660,1,24,4,16,2,6,1,24,1,7,3,6,3,24,6,16,24,6,7,1,2,2,0,0,0,3,23,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,0,2,2,0,0,0,2,0,2,46,46
661,2,8,2,8,3,4,4,16,4,3,4,2,2,4,16,8,3,-46,1,2,1,1,2,0,0,7,28,1,2,1,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,0,2,1,3,1,1,20,26
662,1,2,3,2,3,1,2,16,4,16,1,16,4,1,1,-15,1,-15,1,2,2,2,1,0,0,29,2,2,1,1,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,1,3,2,4,1,1,5,34
663,2,6,3,3,2,2,2,24,4,7,3,2,3,3,24,2,2,-15,NULL,2,0,2,2,0,0,6,28,1,2,1,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,2,4,2,6,0,2,11,29
664,1,16,4,8,1,1,2,24,4,12,3,1,3,16,24,8,1,-15,1,2,1,2,2,0,0,22,27,1,2,1,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,2,6,2,8,0,2,25,33
665,2,12,3,3,3,3,2,24,1,12,3,6,1,12,6,3,12,-15,1,1,2,2,1,0,0,27,3,2,1,1,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,2,8,3,9,1,1,18,33
