,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
801,844,1,8,3,6,4,6,2,8,2,3,2,1,1,8,9,8.0,9.0,8,9.0,1,1,1,0,0,0,0,26,0,0,0,,,,1,1,0,0,0,0,2,1,1,6,3,7,3,1,0,20,15
802,845,2,16,4,8,2,2,4,7,1,6,4,3,4,10,10,8.0,1.0,8,1.0,1,1,1,0,0,0,5,26,0,0,0,2.0,,,1,2,0,0,0,0,2,1,1,7,3,8,6,1,3,26,18
803,846,1,50,4,7,4,7,1,3,3,2,1,2,2,8,1,8.0,1.0,8,1.0,1,1,1,1,2,0,21,31,0,2,16,,,,1,1,0,0,0,0,2,1,1,8,6,9,22,1,16,64,12
804,847,2,16,2,12,1,1,1,8,2,2,3,2,3,8,9,8.0,1.0,8,1.0,1,1,1,1,0,0,23,25,0,2,2,,,,1,1,0,0,0,0,2,1,1,9,22,10,24,1,2,29,22
805,849,1,7,2,6,1,1,3,4,3,3,3,2,1,11,9,10.0,10.0,8,,1,1,1,0,2,0,4,33,1,2,1,,,,1,1,0,0,0,0,0,1,2,1,0,3,1,2,1,14,12
806,850,2,52,1,8,4,2,3,24,3,12,1,4,4,11,11,10.0,10.0,9,9.0,1,2,2,0,0,0,5,7,0,0,0,,,,1,1,2,3,0,0,0,2,3,3,1,3,4,0,3,62,36
807,851,1,16,4,8,1,2,3,12,1,6,2,1,1,8,9,8.0,9.0,8,9.0,1,1,1,0,0,1,25,4,2,1,1,,,,1,1,0,0,0,0,2,1,1,3,4,5,4,2,0,26,21
808,852,2,12,3,6,1,1,4,40,3,24,2,16,1,8,1,8.0,1.0,8,1.0,2,2,2,0,1,0,21,7,2,1,1,,,,2,1,0,0,0,0,1,2,1,5,4,6,5,1,1,19,62
809,853,1,50,4,6,2,3,2,24,4,6,2,4,4,11,9,10.0,11.0,9,10.0,1,2,2,0,0,1,21,23,2,1,1,,,,1,1,2,3,1,3,0,2,4,6,5,7,9,1,4,59,34
810,854,2,12,2,3,1,2,2,24,3,16,3,6,1,8,10,8.0,1.0,8,1.0,2,2,2,0,0,1,6,3,2,1,1,,,,0,0,0,0,0,0,0,2,1,7,9,8,10,1,1,17,33
