,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
2719,2884,2,42,1,24,1,2,2,24,4,12,1,7,3,10,9,9.0,10.0,11,11.0,1,2,1,0,1,0,32,3,2,1,1,,,,2,2,1,2,0,0,0,1,3,5,13,9,13,4,0,68,55
2720,2885,1,6,2,4,3,4,1,24,4,16,2,2,1,9,10,9.0,9.0,11,11.0,2,1,2,2,0,0,7,27,0,2,2,,,,1,3,2,3,0,0,0,2,3,9,13,9,18,0,5,14,30
2721,2886,2,24,1,24,2,1,4,24,3,16,4,2,1,10,10,9.0,9.0,10,11.0,1,2,0,2,0,0,4,25,1,2,1,,,,2,1,1,3,0,0,0,1,3,9,18,12,19,3,1,49,50
2725,2890,2,40,2,6,3,4,4,24,3,8,2,3,1,10,9,9.0,10.0,11,11.0,1,2,1,0,0,0,27,6,0,0,0,,,,2,2,1,3,0,0,0,1,3,0,0,3,0,3,0,50,33
2729,2894,2,50,4,6,4,4,1,16,2,7,4,1,3,9,9,10.0,10.0,11,11.0,1,2,1,1,0,0,28,4,2,1,1,,,,2,3,1,3,2,3,0,1,4,10,4,15,4,5,0,60,23
2735,2901,1,50,4,16,1,1,2,24,2,24,1,2,3,9,9,11.0,10.0,10,10.0,2,1,2,1,0,0,4,5,2,1,1,,,,2,2,0,0,0,0,0,2,2,0,1,1,3,1,2,67,42
2748,2916,2,50,4,7,1,1,2,16,4,12,1,2,2,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,21,26,1,2,1,,,,2,3,1,3,0,0,0,1,3,3,0,6,1,3,1,58,25
2749,2917,1,52,1,16,3,8,3,24,4,4,3,3,3,9,9,10.0,11.0,11,10.0,1,2,1,0,0,0,2,36,0,0,0,2.0,,,1,2,0,0,0,0,0,1,2,6,1,8,4,2,3,76,43
2750,2918,2,42,1,8,3,6,3,16,4,12,4,1,2,9,9,10.0,10.0,11,11.0,1,2,1,0,0,0,7,4,0,0,0,,,,1,2,2,3,1,3,0,1,4,8,4,12,4,4,0,56,25
2751,2919,1,52,1,40,1,3,4,24,2,4,4,1,2,9,10,10.0,9.0,11,9.0,2,1,1,2,0,0,27,30,1,2,1,,,,1,2,2,2,1,3,0,1,4,12,4,16,5,4,1,95,65
2753,2921,1,16,1,16,2,12,2,50,2,8,4,2,3,9,9,10.0,11.0,10,10.0,1,2,1,1,0,0,23,5,2,1,1,,,,1,2,0,0,0,0,0,1,2,17,6,20,6,3,0,44,68
2757,2925,1,24,1,8,3,4,3,12,1,8,2,8,2,10,11,11.0,9.0,9,9.0,2,1,2,1,0,2,23,21,1,2,2,,,,2,1,0,0,0,0,0,2,2,21,13,21,17,0,4,36,28
2767,2937,1,50,4,12,1,6,4,24,3,16,2,8,4,9,9,11.0,10.0,10,11.0,2,1,2,2,0,0,1,22,1,2,1,,,,2,2,0,0,0,0,0,2,2,3,5,3,8,0,3,68,44
2769,2939,1,42,1,7,4,3,4,16,1,6,3,1,2,9,10,10.0,9.0,11,9.0,2,1,1,1,0,0,27,4,2,1,1,,,,1,2,0,0,0,0,0,1,2,9,8,12,8,3,0,52,24
2772,2942,2,24,1,12,1,3,1,8,2,6,4,6,2,10,9,9.0,9.0,11,11.0,1,2,1,0,0,1,29,0,2,1,1,,,,1,3,0,0,0,0,0,1,2,13,11,16,11,3,0,39,26
2777,2947,1,16,3,8,1,3,3,24,2,7,4,3,4,9,10,10.0,9.0,11,11.0,2,1,2,0,0,2,6,29,1,2,1,,,,1,3,0,0,0,0,0,2,2,22,15,22,18,0,3,27,35
2782,2953,2,52,1,6,1,2,1,16,4,16,3,3,3,10,9,9.0,10.0,11,10.0,1,2,1,0,0,2,26,28,0,2,3,,,,1,1,2,2,1,2,0,1,4,9,4,13,7,4,3,60,25
2783,2954,1,24,3,6,2,3,3,24,4,12,1,2,2,10,10,9.0,9.0,11,11.0,2,1,0,0,0,0,6,5,0,0,0,,,,1,3,2,3,0,0,0,2,3,13,7,13,10,0,3,33,32
2788,2959,2,24,2,16,1,16,3,24,2,7,4,3,3,9,9,9.0,11.0,11,10.0,1,2,1,2,0,0,25,26,0,2,2,,,,1,1,2,3,1,3,0,1,4,20,12,24,14,4,2,56,43
2790,2962,1,40,2,7,2,2,1,16,3,16,3,8,1,9,9,11.0,10.0,10,10.0,2,1,2,1,0,0,32,22,0,1,2,,,,2,2,0,0,0,0,0,2,2,1,5,3,7,2,2,49,31
2809,2982,2,16,4,6,1,6,1,16,2,7,1,2,4,9,9,9.0,10.0,11,11.0,1,2,0,2,0,0,2,22,1,2,1,,,,2,3,1,3,0,0,0,1,3,7,7,10,8,3,1,28,24
2817,2991,1,24,3,7,2,1,3,16,1,7,3,3,1,9,9,11.0,10.0,10,11.0,2,1,2,0,0,0,4,22,0,0,0,,,,2,2,0,0,0,0,0,2,2,4,0,4,2,0,2,32,26
2818,2992,2,42,1,16,3,6,3,24,4,12,3,7,1,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,7,24,1,2,1,,,,1,2,2,3,1,3,0,1,4,4,2,8,3,4,1,64,47
2821,2995,1,40,2,24,3,12,4,42,2,7,1,4,3,9,9,10.0,11.0,11,10.0,1,2,1,1,0,0,30,7,2,1,1,,,,1,2,0,0,0,0,0,1,2,8,7,11,7,3,0,76,70
2843,3018,1,24,2,16,4,8,3,16,3,12,1,1,4,9,10,10.0,9.0,11,9.0,2,1,1,0,0,0,3,4,0,0,0,,,,1,3,0,0,0,0,0,1,2,23,6,24,6,1,0,48,33
2845,3021,1,16,2,7,2,2,2,8,2,6,1,3,4,11,9,10.0,11.0,9,10.0,1,2,2,0,0,0,27,6,0,0,0,1.0,,,1,3,0,0,0,0,0,2,2,1,5,4,7,3,2,25,18
2853,3029,1,52,1,12,4,7,1,8,3,6,4,4,4,10,9,9.0,11.0,11,10.0,1,2,1,2,0,0,1,27,1,2,1,,,,2,3,1,3,0,0,0,1,3,17,12,20,13,3,1,71,24
2867,3044,2,24,1,6,1,6,3,40,2,16,2,8,3,9,9,11.0,10.0,9,11.0,2,1,2,0,0,0,23,22,0,0,0,,,,1,3,2,3,0,0,0,2,3,8,10,8,13,0,3,36,54
2881,3059,2,24,2,7,1,1,1,24,2,8,4,1,3,10,9,9.0,10.0,11,11.0,1,2,0,0,0,0,23,4,0,0,0,,,,1,3,0,0,0,0,0,1,2,6,4,8,4,2,0,32,32
2887,3065,2,24,2,3,1,1,1,12,2,7,2,2,2,10,9,9.0,10.0,11,11.0,1,2,1,1,0,0,29,26,0,1,2,,,,1,3,0,0,0,0,0,1,2,12,16,16,16,4,0,28,17
